24.43163, 120.63205	24.40154, 120.62046
24.43257, 120.62493	24.41209, 120.61205
24.41756, 120.63892	24.38278, 120.65677
24.40326, 120.62905	24.37082, 120.656
24.38114, 120.65224	24.37887, 120.68382
24.37074, 120.6676	24.36097, 120.70442
24.39764, 120.59318	24.38763, 120.58794
24.39459, 120.59949	24.38666, 120.59331
24.38435, 120.58485	24.38361, 120.59146
24.39064, 120.60683	24.37077, 120.60146
24.3874, 120.61889	24.36469, 120.61644
24.38021, 120.5837	24.3781, 120.59134
24.37895, 120.58676	24.36398, 120.58033
24.37344, 120.59457	24.35768, 120.60238
24.36378, 120.60766	24.34744, 120.61749
24.38696, 120.6265	24.36077, 120.62449
24.38207, 120.63129	24.36194, 120.63607
24.36902, 120.64211	24.3612, 120.64242
24.36, 120.57593	24.33951, 120.56044
24.35829, 120.58204	24.34069, 120.56603
24.35821, 120.59013	24.3362, 120.5912
24.3489, 120.60219	24.32775, 120.6006
24.33807, 120.61606	24.3263, 120.60662
24.35845, 120.63568	24.34094, 120.62182
24.34187, 120.6286	24.35247, 120.65271
24.34055, 120.63649	24.35141, 120.65877
24.32458, 120.6246	24.33248, 120.61559
24.33381, 120.62744	24.31617, 120.64198
24.34871, 120.66743	24.33455, 120.65254
24.34042, 120.66944	24.32489, 120.66258
24.35319, 120.68641	24.32144, 120.68212
24.34751, 120.69373	24.35002, 120.71604
24.33243, 120.70016	24.33642, 120.71775
24.32727, 120.70226	24.31162, 120.69372
24.30584, 120.66291	24.29747, 120.66243
24.31229, 120.67891	24.2916, 120.69393
24.29852, 120.69449	24.29492, 120.70183
24.34244, 120.73196	24.31534, 120.72367
24.31966, 120.73163	24.30571, 120.722
24.31852, 120.73768	24.30769, 120.74768
24.30953, 120.73274	24.28868, 120.7342
24.31122, 120.70534	24.30093, 120.71757
24.28981, 120.69947	24.29052, 120.72964
24.31044, 120.7787	24.29913, 120.81192
24.29605, 120.7969	24.28443, 120.79188
24.29194, 120.79591	24.26329, 120.8254
24.26157, 120.82743	24.22866, 120.83734
24.27628, 120.85035	24.27207, 120.865
24.29248, 120.90923	24.28227, 120.9067
24.17836, 120.88269	24.16882, 120.90398
24.31811, 120.55162	24.29777, 120.55046
24.29222, 120.52462	24.29379, 120.55183
24.32095, 120.56606	24.29484, 120.56044
24.31338, 120.57341	24.30426, 120.60221
24.2912, 120.56272	24.28513, 120.66667
24.28748, 120.55049	24.1985, 120.50056
24.29347, 120.53998	24.27774, 120.53044
24.23614, 120.49322	24.21243, 120.49016
24.23374, 120.48185	24.22173, 120.47691
24.28326, 120.51024	24.25078, 120.49693
24.27308, 120.53873	24.23106, 120.50809
24.28138, 120.55718	24.2411, 120.54849
24.22916, 120.51694	24.22539, 120.52596
24.21822, 120.58046	24.21822, 120.58046
24.21822, 120.58046	24.18886, 120.5747
24.19872, 120.58544	24.17414, 120.6323
24.22925, 120.62835	24.18126, 120.63462
24.27931, 120.73547	24.04573, 120.69775
24.27659, 120.70336	24.17267, 120.68541
24.18927, 120.64361	24.10696, 120.65269
24.189, 120.66276	24.13277, 120.66253
24.18669, 120.67508	24.1106, 120.66741
24.17866, 120.72158	24.03639, 120.68725
24.15063, 120.60022	24.05473, 120.66236
24.17233, 120.75203	24.07104, 120.71464
