25.13528, 121.47156	25.11756, 121.46363
25.14111, 121.48461	25.13439, 121.48367
25.14679, 121.56597	25.12895, 121.56901
25.12895, 121.56901	25.12589, 121.57386
25.08182, 121.61695	25.06693, 121.61498
25.0782, 121.60867	25.06673, 121.6106
25.06611, 121.60154	25.08862, 121.60081
25.08679, 121.59356	25.06654, 121.59446
25.08877, 121.58815	25.06708, 121.58687
25.08978, 121.58017	25.07027, 121.5785
25.07027, 121.5785	25.08434, 121.57868
25.08403, 121.56143	25.07109, 121.57615
25.08582, 121.54349	25.07762, 121.56645
25.07952, 121.52473	25.07968, 121.54525
25.10541, 121.55124	25.08928, 121.54931
25.14049, 121.54621	25.11012, 121.56239
25.13847, 121.51303	25.13145, 121.54466
25.14844, 121.49273	25.13628, 121.51037
25.14126, 121.48569	25.12369, 121.50754
25.12338, 121.49878	25.10134, 121.5259
25.11868, 121.49913	25.1001, 121.52144
25.10014, 121.51498	25.0762, 121.52631
25.09882, 121.52017	25.08473, 121.5273
25.09622, 121.52529	25.09524, 121.54653
25.08308, 121.5464	25.08055, 121.56331
25.0637, 121.61489	25.03531, 121.61664
25.05639, 121.5908	25.05966, 121.61321
25.05321, 121.58428	25.05472, 121.61376
25.05161, 121.59415	25.03581, 121.58647
25.05507, 121.50755	25.0499, 121.58248
25.05211, 121.56373	25.05211, 121.56373
25.06342, 121.56609	25.05172, 121.56896
25.06568, 121.57561	25.05736, 121.57634
25.06352, 121.55648	25.05093, 121.5585
25.07693, 121.51022	25.07198, 121.52616
25.07344, 121.50975	25.06636, 121.54386
25.06897, 121.50962	25.06621, 121.53434
25.06504, 121.50923	25.06267, 121.5361
25.06175, 121.50835	25.05814, 121.55153
25.05894, 121.50793	25.0538, 121.55175
25.05116, 121.50669	25.04253, 121.58737
25.05288, 121.51309	25.0486, 121.57089
25.04728, 121.50404	25.04042, 121.5884
25.04594, 121.50416	25.02246, 121.4921
25.04605, 121.50905	25.01673, 121.49695
25.04679, 121.51343	25.024, 121.51111
25.04507, 121.51965	25.02407, 121.51864
25.04453, 121.52504	25.01408, 121.52843
25.04363, 121.53049	25.00782, 121.53478
25.04006, 121.53567	25.03994, 121.58807
25.03679, 121.53481	25.03321, 121.57274
25.0322, 121.53926	25.03288, 121.57102
25.02689, 121.53793	25.02581, 121.56428
25.02332, 121.53879	25.01822, 121.55935
25.0246, 121.53572	25.00414, 121.5404
25.00348, 121.5395	24.98862, 121.53932
25.00356, 121.54907	25.00306, 121.5779
24.99979, 121.54555	24.99691, 121.59237
24.98862, 121.54216	24.98824, 121.5882
24.98339, 121.55364	24.98291, 121.56933
24.97349, 121.55821	24.97034, 121.61636
24.96735, 121.55974	24.96696, 121.6041
25.10998, 121.46647	25.08464, 121.5099
25.00285, 121.58634	25.03396, 121.63149
