23.33669, 120.1168	23.08047, 120.03921
23.33403, 120.12431	23.08149, 120.04947
23.32888, 120.12981	23.08339, 120.05828
23.3251, 120.13862	23.07644, 120.06789
23.32037, 120.14222	23.07833, 120.08368
23.3128, 120.14634	23.04675, 120.08351
23.3065, 120.15733	23.03939, 120.09965
23.3053, 120.16758	23.03828, 120.10922
23.30151, 120.1717	23.03385, 120.12364
23.29552, 120.17205	23.03058, 120.13026
23.29068, 120.18108	23.02951, 120.14194
23.29465, 120.19756	23.0326, 120.15361
23.29458, 120.20648	23.02122, 120.16803
23.29395, 120.21541	22.98583, 120.15155
23.30531, 120.22983	22.97319, 120.16666
23.32009, 120.24287	22.95683, 120.16872
23.32367, 120.25523	22.92142, 120.18588
23.33281, 120.2621	22.92134, 120.19821
23.35235, 120.26618	22.91556, 120.20797
23.35089, 120.27284	22.91852, 120.22713
23.34915, 120.28138	22.91098, 120.23178
23.35766, 120.28859	22.90592, 120.23624
23.36869, 120.29408	22.90434, 120.24242
23.37391, 120.30349	22.89988, 120.24856
23.38778, 120.31448	22.89498, 120.2568
23.38431, 120.32375	22.90193, 120.26195
23.38778, 120.33542	22.89988, 120.26624
23.39676, 120.34417	22.89672, 120.27276
23.39967, 120.35396	22.90615, 120.27819
23.40282, 120.3646	22.90552, 120.2842
23.4025, 120.37421	22.90472, 120.29004
23.40408, 120.38692	22.90346, 120.29622
23.40723, 120.39962	22.90156, 120.30514
23.41247, 120.41149	23.23942, 120.37013
23.40343, 120.42009	23.26174, 120.38675
23.40738, 120.43035	23.27309, 120.39602
23.40643, 120.43997	23.2999, 120.41765
23.40612, 120.45233	23.33804, 120.44168
23.40108, 120.464	23.35885, 120.45954
23.21818, 120.36131	22.90545, 120.31874
23.18912, 120.37024	22.89594, 120.33385
23.11904, 120.36337	22.89974, 120.35445
23.15914, 120.38431	23.06018, 120.38728
23.15555, 120.39998	22.91701, 120.38076
23.21502, 120.49082	23.07337, 120.43795
23.19744, 120.49546	23.04673, 120.47357
23.05653, 120.43477	22.92252, 120.40078
23.05053, 120.45125	22.92876, 120.42096
23.1768, 120.49992	23.18548, 120.53357
23.07501, 120.48748	23.08796, 120.5297
