24.93583, 120.98636	24.84941, 120.94396
24.93332, 120.99447	24.84598, 120.9467
24.93955, 121.00168	24.84051, 120.95041
24.94534, 121.01083	24.83977, 120.95899
24.93818, 121.01941	24.83571, 120.96345
24.94191, 121.02971	24.83431, 120.9698
24.94331, 121.03778	24.83174, 120.97443
24.93976, 121.04478	24.83356, 120.98267
24.9353, 121.05248	24.82504, 120.98656
24.92782, 121.05557	24.82722, 120.99377
24.92346, 121.0566	24.82473, 121.00064
24.9191, 121.05591	24.82223, 121.00441
24.90841, 121.05574	24.81963, 121.00699
24.90342, 121.05986	24.81558, 121.01111
24.90155, 121.06776	24.8134, 121.01695
24.89875, 121.07085	24.80903, 121.02004
24.89564, 121.0784	24.80326, 121.02244
24.89537, 121.08674	24.79879, 121.02391
24.88664, 121.09641	24.7938, 121.025
24.88166, 121.10945	24.7938, 121.025
24.87605, 121.11426	24.78881, 121.02843
24.87107, 121.12937	24.78383, 121.02912
24.8692, 121.14653	24.77759, 121.03186
24.84365, 120.92749	24.73636, 120.8875
24.84514, 120.9335	24.73605, 120.89539
24.84295, 120.93831	24.73885, 120.90054
24.8417, 120.94243	24.74228, 120.90672
24.8389, 120.9438	24.74134, 120.90947
24.83858, 120.94689	24.73728, 120.90981
24.83609, 120.94998	24.73728, 120.90981
24.83406, 120.95444	24.73728, 120.90981
24.83344, 120.95925	24.73526, 120.91221
24.83313, 120.9644	24.73276, 120.91393
24.83188, 120.96749	24.72964, 120.91359
24.82924, 120.97478	24.72731, 120.91427
24.82831, 120.97848	24.72731, 120.91427
24.82644, 120.98363	24.72513, 120.91565
24.82504, 120.98656	24.72217, 120.91736
24.82379, 120.99015	24.7207, 120.91653
24.77628, 121.03015	24.71844, 120.91651
24.71844, 120.91651	24.71689, 120.91737
24.76974, 121.02912	24.71735, 120.91994
24.719, 120.92853	24.5055, 121.07684
24.73085, 120.94089	24.50175, 121.09813
24.74644, 120.95462	24.513, 121.11392
24.75018, 120.96767	24.5105, 121.14276
24.76514, 120.98209	24.50978, 121.16298
24.7613, 121.00299	24.5104, 121.18564
24.76333, 121.02359	24.51493, 121.20761
24.7652, 121.04144	24.5104, 121.21884
24.80447, 121.23532	24.55747, 121.38877
24.77119, 121.0554	24.69042, 121.10209
24.774, 121.07016	24.70602, 121.14295
24.77836, 121.08493	24.69978, 121.1941
24.81264, 121.11102	24.78397, 121.18758
24.79924, 121.22706	24.53519, 121.38755
24.79227, 121.20902	24.50907, 121.37107
24.78741, 121.19872	24.47689, 121.33433
24.78086, 121.17023	24.43721, 121.29759
24.79083, 121.12695	24.46782, 121.25879
24.79738, 121.15305	24.49345, 121.23407
