25.08175, 121.17592	25.12147, 121.26184
25.07856, 121.17841	25.11851, 121.26836
25.11882, 121.27214	25.07716, 121.17892
25.07701, 121.18081	25.11711, 121.27814
25.07507, 121.18356	25.11627, 121.28226
25.07367, 121.18596	25.11207, 121.28192
25.07212, 121.18802	25.10865, 121.28175
25.07087, 121.19111	25.10741, 121.2845
25.06729, 121.19455	25.10274, 121.28518
25.06512, 121.19764	25.10406, 121.28793
25.05991, 121.20038	25.10282, 121.29274
25.05555, 121.20484	25.10344, 121.29823
25.05112, 121.20924	25.09885, 121.30022
25.04878, 121.21182	25.09574, 121.30366
25.03992, 121.2168	25.09263, 121.31275
25.0337, 121.21645	25.07926, 121.3028
25.02919, 121.218	25.06791, 121.29198
25.02701, 121.2216	25.06418, 121.29627
25.02343, 121.2228	25.05998, 121.30211
25.01954, 121.22195	25.05672, 121.30743
25.07149, 121.34125	25.04365, 121.39652
25.01536, 121.21817	25.04911, 121.30966
25.00789, 121.20959	25.04833, 121.31447
25.00509, 121.2077	25.03931, 121.30881
25.00058, 121.20341	25.03356, 121.31567
24.99545, 121.20512	25.02936, 121.31962
24.99202, 121.20735	25.02609, 121.32254
24.99016, 121.2089	25.01894, 121.31481
24.983, 121.21508	25.02329, 121.3337
24.98004, 121.21748	25.0194, 121.3361
24.97569, 121.21868	25.01396, 121.34348
24.97257, 121.21989	25.01085, 121.35292
25.0799, 121.31876	25.03667, 121.39807
25.06839, 121.31327	25.03107, 121.39919
25.05969, 121.32211	25.02858, 121.39026
25.05409, 121.32726	25.02796, 121.3779
25.04989, 121.33842	25.01723, 121.37704
25.04242, 121.33876	25.00752, 121.36885
24.96955, 121.22071	25.01086, 121.34585
24.96636, 121.22182	25.00184, 121.34611
24.9634, 121.22156	25.00184, 121.36319
24.9606, 121.22002	25.01016, 121.3928
24.95912, 121.21839	25.00689, 121.39786
24.95819, 121.21702	24.99943, 121.36928
24.95714, 121.21697	24.9962, 121.36494
24.95449, 121.21757	24.99277, 121.36488
24.952, 121.21854	24.98842, 121.35776
24.94796, 121.21889	24.98546, 121.35707
24.945, 121.21975	24.98313, 121.34471
24.94173, 121.22301	24.97768, 121.32703
24.93896, 120.98886	25.08472, 121.17082
24.94378, 120.99985	25.07819, 121.17528
24.94534, 121.01083	25.07716, 121.17892
24.94369, 121.01564	25.07701, 121.18081
24.94369, 121.01899	25.07507, 121.18356
24.94502, 121.02826	25.07169, 121.18588
24.94599, 121.03791	25.07212, 121.18802
24.94381, 121.04478	25.06512, 121.19764
24.9445, 121.05325	25.06087, 121.19816
24.93802, 121.05719	25.06087, 121.19816
24.93638, 121.0595	25.05711, 121.20095
24.93147, 121.05971	25.0484, 121.20622
24.9296, 121.06349	25.04412, 121.20872
24.92555, 121.06246	25.04007, 121.21112
24.92212, 121.0628	25.03229, 121.21318
24.91216, 121.06177	25.02452, 121.21284
24.91029, 121.06141	25.02109, 121.20906
24.90927, 121.06397	25.01705, 121.20391
24.90927, 121.06397	25.01238, 121.20013
24.90647, 121.06706	25.00429, 121.19945
24.90554, 121.06946	25.00025, 121.19736
24.90242, 121.07255	24.99799, 121.19958
24.90273, 121.07908	24.99456, 121.20095
24.90055, 121.0832	24.99021, 121.20267
24.899, 121.08972	24.98456, 121.20856
24.899, 121.08972	24.9818, 121.21228
24.89806, 121.09521	24.9818, 121.21228
24.89651, 121.10002	24.97776, 121.2164
24.89931, 121.10723	24.97807, 121.21331
24.89464, 121.11169	24.97309, 121.21366
24.89464, 121.11169	24.96593, 121.2116
24.88716, 121.11409	24.95846, 121.21091
24.88016, 121.11993	24.9485, 121.21194
24.88233, 121.12851	24.94025, 121.21709
24.88109, 121.13401	24.96982, 121.32421
24.88307, 121.14225	24.96982, 121.32421
24.88296, 121.1474	24.96827, 121.32799
24.88078, 121.15633	24.96391, 121.32627
24.87579, 121.15976	24.95831, 121.32764
24.87143, 121.16182	24.95395, 121.3249
24.86738, 121.16148	24.94554, 121.32524
24.86022, 121.16182	24.94025, 121.31494
24.85492, 121.15976	24.93527, 121.31666
24.85025, 121.15598	24.93122, 121.32112
24.84215, 121.15804	24.92531, 121.32318
24.83748, 121.1656	24.91784, 121.31872
24.83467, 121.16903	24.91161, 121.32146
24.83031, 121.17487	24.90663, 121.32215
24.82813, 121.17967	24.89791, 121.32146
24.82439, 121.18654	24.89324, 121.3273
24.82081, 121.19177	24.88888, 121.33657
24.818, 121.20173	24.88187, 121.34387
24.81084, 121.21237	24.87065, 121.34799
24.80749, 121.22466	24.85921, 121.34963
24.81221, 121.24723	24.60387, 121.37576
24.82031, 121.25903	24.60012, 121.3943
24.82717, 121.27826	24.61136, 121.41284
24.82592, 121.29954	24.62821, 121.43001
24.83963, 121.3119	24.65193, 121.44237
24.84711, 121.32907	24.67501, 121.46022
24.84773, 121.34418	24.70995, 121.44855
