22.48857, 113.99892	22.41764, 113.91684
22.48875, 114.00056	22.41891, 113.92989
22.48899, 114.00211	22.45254, 113.97408
22.48805, 114.00421	22.45182, 113.9753
22.48736, 114.00663	22.45111, 113.97622
22.48649, 114.00992	22.45012, 113.97737
22.48579, 114.01168	22.44901, 113.97805
22.48337, 114.01266	22.44842, 113.97919
22.47178, 114.00007	22.44405, 113.98466
22.47191, 114.00099	22.44339, 113.98513
22.47201, 114.00172	22.44258, 113.98554
22.47199, 114.00273	22.44163, 113.98592
22.47182, 114.00363	22.44094, 113.9861
22.47162, 114.00442	22.44022, 113.98625
22.47057, 114.00479	22.43962, 113.98635
22.46763, 114.00549	22.43888, 113.98628
22.46753, 114.0065	22.4384, 113.98613
22.4671, 114.0072	22.43789, 113.986
22.46641, 114.00772	22.43719, 113.98583
22.46566, 114.00776	22.43686, 113.98576
22.46484, 114.00793	22.4365, 113.98552
22.46393, 114.00832	22.43583, 113.98528
22.46318, 114.0086	22.43519, 113.985
22.46265, 114.00914	22.43456, 113.98483
22.46293, 114.00977	22.43386, 113.98442
22.46306, 114.01045	22.41444, 113.97514
22.46306, 114.01129	22.41407, 113.97563
22.46332, 114.01184	22.41444, 113.97638
22.46395, 114.01236	22.41448, 113.97707
22.46431, 114.013	22.41568, 113.97895
22.46475, 114.01367	22.41538, 113.98057
22.44888, 114.01079	22.41526, 113.98256
22.44865, 114.01115	22.4137, 113.98336
22.44838, 114.01143	22.41426, 113.98475
22.44811, 114.01171	22.41553, 113.98535
22.44791, 114.01206	22.41589, 113.98661
22.44764, 114.01239	22.41603, 113.98734
22.4474, 114.01283	22.41641, 113.98839
22.44731, 114.01322	22.41654, 113.98904
22.44719, 114.01367	22.43807, 114.01193
22.44722, 114.01429	22.43819, 114.01253
22.44725, 114.01479	22.43814, 114.01309
22.44719, 114.0152	22.43822, 114.01353
22.4472, 114.01567	22.43818, 114.01401
22.44717, 114.01613	22.4382, 114.01455
22.44726, 114.01655	22.43835, 114.01507
22.4475, 114.01692	22.438, 114.01556
22.44777, 114.01727	22.43786, 114.01588
22.44795, 114.01756	22.43765, 114.01625
22.44812, 114.01792	22.43732, 114.01677
22.4483, 114.01828	22.43717, 114.01708
22.44849, 114.01864	22.43699, 114.01738
22.44871, 114.01893	22.43683, 114.01767
22.44888, 114.01925	22.4366, 114.01803
22.44911, 114.01958	22.43645, 114.01845
22.44919, 114.0199	22.43628, 114.0188
22.44933, 114.02024	22.43618, 114.01916
22.44945, 114.02067	22.43606, 114.01946
22.4496, 114.02109	22.43596, 114.01982
22.44978, 114.0214	22.43589, 114.02014
22.45004, 114.02169	22.43583, 114.02033
22.45033, 114.022	22.43577, 114.02053
22.45061, 114.02224	22.43574, 114.02072
22.45093, 114.02247	22.43571, 114.02093
22.45113, 114.02269	22.43567, 114.02115
22.45147, 114.02292	22.43563, 114.02136
22.45172, 114.02318	22.43561, 114.02156
22.45209, 114.02337	22.43557, 114.02173
22.45245, 114.02366	22.43554, 114.02192
22.45261, 114.02399	22.43552, 114.02213
22.45257, 114.02425	22.43546, 114.02235
22.45248, 114.02447	22.43543, 114.0226
22.45231, 114.02467	22.43538, 114.0228
22.4523, 114.02492	22.43535, 114.02311
22.45231, 114.02515	22.4353, 114.02338
22.45234, 114.02533	22.43521, 114.02372
22.45235, 114.0255	22.43512, 114.02404
22.45236, 114.02568	22.43507, 114.02435
22.45238, 114.02587	22.43505, 114.02466
22.45239, 114.02606	22.44147, 114.0254
22.45239, 114.02623	22.44184, 114.02559
22.45238, 114.02641	22.44185, 114.02583
22.45236, 114.02657	22.44182, 114.02604
22.45235, 114.02675	22.44183, 114.02623
22.45236, 114.02694	22.44155, 114.02635
22.45237, 114.02713	22.44137, 114.02647
22.4524, 114.02731	22.44095, 114.02654
22.45241, 114.0275	22.44094, 114.02673
22.45241, 114.02779	22.44095, 114.02695
22.45241, 114.028	22.44094, 114.02722
22.45242, 114.02816	22.44094, 114.02745
22.45242, 114.02835	22.44093, 114.02765
22.45242, 114.02858	22.44096, 114.02785
22.45241, 114.02878	22.44094, 114.02812
22.4524, 114.02899	22.44095, 114.02836
22.45241, 114.02916	22.44095, 114.02864
22.45241, 114.02934	22.44105, 114.02882
22.4524, 114.02955	22.44098, 114.02903
22.45239, 114.02976	22.44087, 114.02919
22.45241, 114.02999	22.44061, 114.02931
22.45239, 114.03022	22.44064, 114.0295
22.45238, 114.03043	22.44066, 114.02967
22.45236, 114.03067	22.44076, 114.02982
22.44683, 114.0301	22.44102, 114.03004
22.44678, 114.03027	22.44099, 114.03031
22.4467, 114.03039	22.44099, 114.03039
22.44656, 114.03056	22.44099, 114.03051
22.44642, 114.03073	22.44084, 114.03104
22.44629, 114.03088	22.44084, 114.03118
22.4462, 114.03099	22.44088, 114.03133
22.44611, 114.03113	22.44093, 114.03146
22.44603, 114.03127	22.44094, 114.03157
22.44591, 114.03144	22.44089, 114.03171
22.44576, 114.03165	22.44084, 114.03183
22.44563, 114.03181	22.44087, 114.03198
22.44551, 114.03195	22.44093, 114.03215
22.44534, 114.03212	22.44099, 114.03234
22.44516, 114.03225	22.44097, 114.03254
22.4449, 114.03241	22.44101, 114.03271
22.44466, 114.03259	22.44105, 114.03284
22.44457, 114.0328	22.44109, 114.03302
22.44448, 114.03297	22.44111, 114.03331
22.44439, 114.03316	22.44115, 114.03349
22.44698, 114.03344	22.44117, 114.03362
22.44697, 114.03363	22.44123, 114.03374
22.44699, 114.03381	22.44125, 114.03387
22.44699, 114.03402	22.44125, 114.03403
22.44699, 114.03422	22.44129, 114.03422
22.44699, 114.03446	22.44132, 114.0344
22.44699, 114.03468	22.44141, 114.03457
22.44699, 114.03491	22.44148, 114.03489
22.447, 114.03515	22.44154, 114.03506
22.44699, 114.03535	22.4417, 114.03533
22.44694, 114.03563	22.44188, 114.03551
22.44677, 114.03592	22.44197, 114.03577
22.44664, 114.03614	22.44208, 114.03598
22.44646, 114.03633	22.44217, 114.0362
22.44624, 114.0365	22.44225, 114.03644
22.44611, 114.03683	22.44194, 114.03687
22.44529, 114.03764	22.4425, 114.03758
22.44588, 114.03864	22.44286, 114.03853
22.44733, 114.04003	22.44294, 114.039
22.40416, 113.978	22.39194, 113.97534
22.40422, 113.97807	22.39197, 113.97546
22.40422, 113.97815	22.39201, 113.9756
22.40422, 113.97821	22.39207, 113.9757
22.40421, 113.97829	22.39206, 113.97581
22.40422, 113.97835	22.3921, 113.9759
22.40422, 113.97843	22.3921, 113.97599
22.40404, 113.97845	22.39212, 113.97611
22.40404, 113.9785	22.39215, 113.97624
22.40403, 113.97856	22.39216, 113.97637
22.40402, 113.97862	22.39194, 113.97652
22.40401, 113.97868	22.392, 113.97663
22.40401, 113.97873	22.39207, 113.97671
22.40392, 113.97876	22.3921, 113.97684
22.40392, 113.97881	22.39216, 113.97698
22.40394, 113.97888	22.39088, 113.9774
22.40395, 113.97894	22.39231, 113.97746
22.4037, 113.97898	22.39201, 113.97774
22.40413, 113.9793	22.39197, 113.97781
22.40093, 113.9785	22.392, 113.97793
22.40194, 113.9793	22.39202, 113.97802
22.40222, 113.98019	22.39201, 113.97831
22.39158, 113.97771	22.3853, 113.97977
22.39159, 113.97778	22.38533, 113.97985
22.39159, 113.97786	22.38532, 113.97993
22.39164, 113.97793	22.38536, 113.98004
22.39166, 113.97801	22.38539, 113.98012
22.3917, 113.9781	22.38544, 113.98021
22.3917, 113.9782	22.38549, 113.98028
22.39169, 113.9783	22.38552, 113.98037
22.39181, 113.97836	22.38559, 113.98044
22.39168, 113.9784	22.38564, 113.98053
22.39173, 113.97851	22.3857, 113.9806
22.39177, 113.97864	22.38574, 113.98069
22.39182, 113.97876	22.38582, 113.98077
22.39185, 113.97887	22.38589, 113.98084
22.3919, 113.97898	22.38596, 113.98091
22.44485, 114.0431	22.44261, 114.04474
22.44178, 114.05479	22.41328, 114.06677
22.44225, 114.05503	22.41336, 114.06873
22.44275, 114.05534	22.40868, 114.07322
22.4427, 114.05801	22.41539, 114.07117
22.44283, 114.05841	22.41551, 114.07159
22.44301, 114.05883	22.4157, 114.07207
22.44309, 114.05921	22.41583, 114.07247
22.44327, 114.05958	22.41597, 114.07285
22.4434, 114.05997	22.41606, 114.0732
22.44362, 114.06048	22.41614, 114.0735
22.44382, 114.06081	22.41619, 114.07374
22.44395, 114.06116	22.41624, 114.07398
22.44414, 114.06148	22.41626, 114.07424
22.44437, 114.06185	22.41651, 114.07458
22.44458, 114.06219	22.41671, 114.07487
22.44488, 114.06245	22.41692, 114.07521
22.4451, 114.06277	22.41708, 114.07548
22.44548, 114.0631	22.41719, 114.07579
22.44568, 114.06354	22.41737, 114.07607
22.44597, 114.06398	22.41761, 114.07634
22.44619, 114.06439	22.4178, 114.07665
22.44631, 114.06477	22.41804, 114.07695
22.4465, 114.06512	22.41832, 114.07734
22.44664, 114.06548	22.41853, 114.07763
22.44684, 114.06586	22.41875, 114.0779
22.44696, 114.06636	22.419, 114.0782
22.44671, 114.06681	22.41922, 114.07842
22.44637, 114.06726	22.41938, 114.07871
22.44563, 114.06756	22.41972, 114.07902
22.44554, 114.06797	22.41988, 114.07929
22.44534, 114.06832	22.4202, 114.07958
22.44496, 114.06891	22.4205, 114.07993
22.43828, 114.07275	22.42078, 114.08018
22.42871, 114.07993	22.42099, 114.08054
22.43244, 114.08138	22.42138, 114.08089
22.43977, 114.09422	22.43138, 114.0964
22.43834, 114.09503	22.43019, 114.09998
22.44246, 114.09554	22.43118, 114.10389
22.44374, 114.09735	22.43246, 114.103
22.44212, 114.10005	22.43212, 114.10334
22.49422, 114.06142	22.50039, 114.0737
22.50213, 114.07797	22.50205, 114.07893
22.501, 114.07879	22.50215, 114.07952
22.50475, 114.10078	22.50367, 114.10282
22.50769, 114.12235	22.50281, 114.1249
22.50801, 114.12592	22.5011, 114.12575
22.50616, 114.12722	22.50131, 114.12699
22.50618, 114.12733	22.50132, 114.12712
22.50615, 114.12746	22.50132, 114.12725
22.50618, 114.12759	22.50132, 114.12741
22.50614, 114.12768	22.50137, 114.12755
22.50615, 114.12782	22.50137, 114.1277
22.50614, 114.12797	22.50128, 114.1279
22.50476, 114.12897	22.50049, 114.12894
22.50479, 114.1291	22.5005, 114.12909
22.5048, 114.12925	22.50048, 114.12923
22.50479, 114.12939	22.50047, 114.1294
22.50479, 114.12955	22.50045, 114.12957
22.50479, 114.12968	22.5007, 114.12971
22.50436, 114.13031	22.50175, 114.13033
22.50143, 114.13202	22.50045, 114.13219
22.51152, 114.11021	22.51051, 114.1103
22.51883, 114.11343	22.51122, 114.12384
22.47694, 114.10566	22.47599, 114.1108
22.47585, 114.11121	22.47479, 114.11118
22.47332, 114.05116	22.48216, 114.11266
22.52989, 114.14711	22.53399, 114.16237
22.52363, 114.16147	22.52243, 114.16239
22.52845, 114.15876	22.52415, 114.16091
22.53152, 114.20319	22.54488, 114.22362
22.52467, 114.20795	22.52383, 114.21549
22.52524, 114.21941	22.53184, 114.23334
22.54588, 114.22454	22.54521, 114.22515
22.34222, 114.12404	22.34377, 114.12664
22.33789, 114.13725	22.3378, 114.13728
22.33849, 114.13636	22.33841, 114.13661
22.34012, 114.1389	22.33681, 114.13727
22.34011, 114.13896	22.3368, 114.13734
22.34009, 114.139	22.33677, 114.13739
22.34007, 114.13905	22.33676, 114.13744
22.34004, 114.13911	22.33674, 114.13751
22.34002, 114.13918	22.33671, 114.13757
22.33999, 114.13925	22.3367, 114.13764
22.33996, 114.13931	22.33668, 114.1377
22.33992, 114.13937	22.33666, 114.13776
22.33989, 114.13942	22.33664, 114.13781
22.33987, 114.13948	22.33662, 114.13788
22.33985, 114.13953	22.33659, 114.13796
22.33982, 114.13957	22.33657, 114.13803
22.33979, 114.13964	22.33655, 114.1381
22.33977, 114.13969	22.33653, 114.13816
22.33975, 114.13975	22.33651, 114.13823
22.33972, 114.13982	22.33649, 114.13829
22.3397, 114.13989	22.33646, 114.13836
22.33968, 114.13995	22.33643, 114.13841
22.33965, 114.14	22.3364, 114.13848
22.33961, 114.14005	22.33637, 114.13853
22.33956, 114.1401	22.33634, 114.1386
22.3395, 114.14015	22.33632, 114.13866
22.33944, 114.1402	22.33629, 114.13873
22.33941, 114.14023	22.33626, 114.13878
22.33937, 114.14026	22.33623, 114.13888
22.33933, 114.14028	22.33621, 114.13894
22.33928, 114.1403	22.33619, 114.13902
22.33922, 114.14034	22.33617, 114.1391
22.33915, 114.14037	22.33614, 114.13918
22.33908, 114.14038	22.33613, 114.13923
22.33904, 114.1404	22.33609, 114.1393
22.33896, 114.1404	22.33607, 114.13937
22.3389, 114.14043	22.33603, 114.13943
22.33879, 114.14046	22.33601, 114.13951
22.33871, 114.14049	22.33599, 114.13958
22.33864, 114.14052	22.33598, 114.13964
22.33858, 114.14056	22.33588, 114.13965
22.3385, 114.1406	22.33586, 114.13973
22.3384, 114.14067	22.33582, 114.13982
